Job Title,Skills,Job Description
CLOUD/SOFTWARE APPLICATIONS ENGINEER,"Cloud Platforms, Application Development, Cloud Services, DevOps",Develops and deploys applications on cloud platforms.
CLOUD SYSTEM ADMINISTRATOR,"Cloud Platforms, System Administration, Virtualization, Networking","Manages and maintains cloud infrastructure, ensuring availability and performance."
CLOUD SYSTEM ENGINEER,"Cloud Platforms, System Engineering, Automation, Scripting","Engineers cloud infrastructure, implementing automation and ensuring system reliability."
PLATFORM ENGINEER,"Platform Engineering, Cloud Computing, Automation, DevOps Practices","Develops and maintains platform infrastructure, enabling efficient software development and deployment."
SOFTWARE QUALITY ASSURANCE ANALYST,"QA Processes, Test Planning, Test Execution, Reporting",Ensures software quality through testing and reporting.
UI (USER INTERFACE) DESIGNER,"UI Design, User Research, Prototyping, Usability Testing","Designs user interfaces, ensuring usability and aesthetic appeal."
TECHNICAL ACCOUNT MANAGER,"Customer Relationship Management, Technical Support, Account Management, Sales","Manages customer accounts, providing technical support and building relationships."
IT SALES EXECUTIVE,"Sales, Technology Solutions, Customer Relationship Management, Sales Strategy","Sells technology solutions, developing sales strategies and building customer relationships."
IT SALES DIRECTOR,"Sales Leadership, Sales Strategy, Customer Relationship Management, Team Management","Leads IT sales teams, developing sales strategies and managing customer relationships."
TECHNOLOGY MANAGER,"IT Management, Team Leadership, Project Management, Budgeting","Manages IT teams and projects, ensuring efficient operations."
TECHNOLOGY ASSISTANT,"Technical Support, Administrative Support, Hardware/Software, Troubleshooting",Provides technical and administrative support to IT teams.
TECHNOLOGY SPECIALIST,"Technical Expertise, Problem Solving, Troubleshooting, IT Support","Provides technical expertise and support, resolving complex IT issues."
DIRECTOR ORACLE,"Oracle Database, Team Leadership, Project Management, Budgeting","Manages Oracle database teams and projects, ensuring efficient operations."
KNOWLEDGE MANAGER,"Knowledge Management, Information Architecture, Collaboration, Documentation","Manages knowledge assets, ensuring information is accessible and organized."
MANAGER HARDWARE,"Hardware Management, Team Leadership, Budgeting, Inventory Management","Manages hardware resources, leading teams and overseeing hardware operations."
SHAREPOINT MANAGER,"SharePoint, Team Leadership, Project Management, Collaboration","Manages SharePoint environments, leading teams and ensuring efficient collaboration."
REQUIREMENTS MANAGER,"Requirements Gathering, Analysis, Documentation, Communication","Manages requirements for IT projects, ensuring they are well-defined and communicated."
IMPLEMENTATION DIRECTOR,"Implementation Management, Project Management, Team Leadership, Communication","Manages IT project implementations, leading teams and ensuring successful deployments."
TECHNOLOGY OFFICER,"IT Strategy, Leadership, Innovation, Project Management","Provides technology leadership, defining IT strategy and driving innovation."
DIRECTOR BUSINESS SYSTEMS,"Business Systems, Team Leadership, Project Management, Process Improvement","Manages business systems, leading teams and improving business processes."
MANAGER NET,"NET Development, Team Leadership, Project Management, .NET Framework","Manages .NET development teams and projects, ensuring efficient development practices."
SYSTEMS INTEGRATION MANAGER,"Systems Integration, Project Management, Team Leadership, Communication","Manages systems integration projects, leading teams and ensuring successful integration."
DIGITAL PROGRAM MANAGER,"Digital Strategy, Program Management, Team Leadership, Communication","Manages digital programs, leading teams and ensuring successful execution."
INTEGRATION DIRECTOR,"Integration Management, Project Management, Team Leadership, Communication","Manages integration projects, leading teams and ensuring successful integration."
DIRECTOR HARDWARE,"Hardware Management, Team Leadership, Budgeting, Strategic Planning","Manages hardware resources, leading teams and developing hardware strategies."
MANAGER LINUX,"Linux Administration, Team Leadership, Project Management, Troubleshooting","Manages Linux systems and teams, ensuring efficient operations and troubleshooting issues."
MANAGER PHP,"PHP Development, Team Leadership, Project Management, Web Development","Manages PHP development teams and projects, ensuring efficient development practices."
FIRMWARE MANAGER,"Firmware Development, Team Leadership, Project Management, Embedded Systems","Manages firmware development teams and projects, ensuring efficient development practices."
IT PROGRAM ENGAGEMENT DIRECTOR,"IT Program Management, Customer Relationship Management, Stakeholder Management, Team Leadership","Manages IT program engagements, building customer relationships and leading teams."
MANAGER UNIX,"UNIX Administration, Team Leadership, Project Management, Troubleshooting","Manages UNIX systems and teams, ensuring efficient operations and troubleshooting issues."
TECHNOLOGY ADOPTION MANAGER,"Technology Adoption, Training, Communication, Change Management","Manages technology adoption initiatives, providing training and communication to ensure successful adoption."
IT SUPPORT SPECIALIST,"Technical Support, Troubleshooting, Customer Service, Hardware/Software","Provides technical support to end-users, resolving hardware and software issues."
CUSTOMER SERVICE REPRESENTATIVE,"Customer Service, Communication, Problem Solving, Technical Support","Provides customer service, resolving issues and providing technical support."
TECHNICAL PRODUCT MANAGER,"Product Management, Technical Expertise, Market Analysis, Requirements Gathering","Manages technical products, defining product strategy and gathering requirements."
PROJECT MANAGER,"Project Management, Planning, Execution, Communication","Manages projects, ensuring they are completed on time and within budget."
PROGRAM MANAGER,"Program Management, Planning, Execution, Communication","Manages programs, ensuring they are completed on time and within budget."
PORTFOLIO MANAGER,"Portfolio Management, Investment Management, Risk Management, Financial Analysis","Manages investment portfolios, assessing risk and making investment decisions."
CHIEF INFORMATION OFFICER (CIO),"IT Strategy, Leadership, Budgeting, Project Management","Leads IT organizations, defining IT strategy and overseeing IT operations."
CHIEF TECHNOLOGY OFFICER (CTO),"Technology Strategy, Innovation, Research and Development, Team Leadership","Leads technology initiatives, driving innovation and overseeing research and development."
IT DIRECTOR,"IT Management, Team Leadership, Budgeting, Project Management","Manages IT teams and projects, ensuring efficient operations."
TECHNICAL OPERATIONS OFFICER,"Technical Operations, Infrastructure Management, System Administration, Incident Response","Manages technical operations, ensuring the stability and performance of IT systems."
INFORMATION MANAGEMENT SYSTEMS DIRECTOR,"Information Management, Systems Administration, Data Management, Compliance","Manages information management systems, ensuring data is accessible and secure."
SENIOR IT CONSULTANT,"IT Consulting, Project Management, Technical Expertise, Client Management","Provides IT consulting services, managing projects and providing technical expertise."
TECHNICAL LEAD,"Technical Leadership, Software Development, Team Leadership, Mentoring","Leads technical teams, providing guidance and mentoring team members."
IT APPRENTICE,"Technical Support, Troubleshooting, Learning Agility, Customer Service","Provides technical support to end-users, learning IT concepts and developing technical skills."
IT TECHNICIAN,"Technical Support, Troubleshooting, Hardware/Software, Networking","Provides technical support to end-users, resolving hardware and software issues."
IT SYSTEMS ADMINISTRATOR,"System Administration, Linux/Windows Servers, Troubleshooting, Scripting","Manages and maintains IT systems, ensuring stability and performance."
IT ENGINEER,"System Engineering, Networking, Cloud Computing, Security","Engineers IT systems, ensuring scalability, reliability, and security."
COMPUTER NETWORK SPECIALIST,"Networking, Troubleshooting, System Administration, Security","Manages and maintains computer networks, ensuring stability and security."
COMPUTER AND INFORMATION RESEARCH SCIENTIST,"Research Methodologies, Data Analysis, Programming, Scientific Writing",Conducts research in computer science and develops new technologies.
COMPUTER AND INFORMATION RESEARCH MANAGER,"Research Management, Team Leadership, Budgeting, Project Management",Manages computer and information research projects and teams.
SOFTWARE DEVELOPMENT MANAGER,"Software Development, Team Leadership, Project Management, Software Architecture","Manages software development teams and projects, ensuring efficient development practices."
SOFTWARE DEVELOPMENT ENGINEER,"Software Development, Programming Languages, Algorithm Design, Problem Solving","Develops software applications, implementing algorithms and solving complex problems."
APPLICATION DESIGNER,"Application Design, UI/UX Principles, Programming Languages, Software Architecture","Designs software applications, ensuring usability and functionality."
APPLICATION ENGINEER,"Application Development, Programming Languages, Troubleshooting, System Administration","Develops and maintains software applications, troubleshooting issues and ensuring stability."
LEAD PROGRAMMER,"Programming Languages, Software Development, Team Leadership, Mentoring","Leads programming teams, providing technical guidance and mentoring team members."
ITERATION MANAGER,"Agile Methodologies, Scrum, Kanban, Team Facilitation","Facilitates agile development teams, ensuring efficient iteration and collaboration."
WEBMASTER,"Web Development, Web Design, System Administration, Content Management","Manages websites, ensuring functionality, security, and content quality."
UX/UI RESEARCHER,"User Research, Usability Testing, Data Analysis, Reporting",Conducts user research and usability testing to inform design decisions.
UX/UI SPECIALIST,"UX/UI Design, User Research, Prototyping, Usability Testing","Designs user interfaces and experiences, ensuring usability and aesthetic appeal."
ANIMATOR,"Animation Software, 2D/3D Animation, Storyboarding, Visual Effects","Creates animations for various media, including films, games, and websites."
MOTION GRAPHICS ARTIST,"Motion Graphics, Animation Software, Visual Effects, Graphic Design",Creates motion graphics and visual effects for various media.
2D ARTIST/ANIMATOR,"2D Animation, Drawing, Illustration, Animation Software",Creates 2D animations for various media.
3D ARTIST/ANIMATOR,"3D Animation, Modeling, Texturing, Rigging",Creates 3D animations for various media.
CHARACTER DESIGNER,"Character Design, Illustration, Drawing, Animation","Designs characters for animation, games, and other media."
STORYBOARD ARTIST,"Storyboarding, Drawing, Visual Communication, Film/Animation","Creates storyboards for films, animations, and other media."
VFX ARTIST,"Visual Effects, Compositing, 3D Modeling, Simulation","Creates visual effects for films, television, and other media."
RIGGING ARTIST,"Rigging, Animation, 3D Modeling, Character Setup",Creates rigs for animating 3D characters.
TECHNICAL ANIMATOR,"Technical Animation, Scripting, Programming, Animation Software",Develops tools and workflows for animation production.
ART DIRECTOR,"Art Direction, Visual Design, Team Leadership, Project Management","Leads art teams, providing visual direction and ensuring aesthetic consistency."
ANIMATION DIRECTOR,"Animation Direction, Storytelling, Team Leadership, Project Management","Directs animation projects, ensuring artistic quality and storytelling effectiveness."
VISUAL EFFECTS ANIMATOR,"Visual Effects, Animation, Compositing, 3D Modeling","Creates visual effects for films, television, and other media."
GRAPHIC EFFECTS SUPERVISOR,"Visual Effects Supervision, Team Leadership, Technical Expertise, Project Management","Supervises visual effects projects, ensuring technical and artistic quality."
FORENSIC ANIMATOR,"Forensic Animation, 3D Modeling, Legal Expertise, Visual Communication","Creates animations for legal presentations, visualizing forensic evidence."
COMPOSITOR,"Compositing, Visual Effects, Color Correction, Image Manipulation","Combines visual elements to create final images for films, television, and other media."
EFFECTS TECHNICAL DIRECTOR (FX TD),"Visual Effects, Technical Expertise, Scripting, Problem Solving",Develops technical solutions for visual effects production.
LAYOUT ARTIST,"Layout, Cinematography, 3D Modeling, Visual Storytelling","Creates layouts for animated scenes, determining camera angles and composition."
AI RESEARCHER,"AI/ML Algorithms, Python, Research Methodologies, Data Analysis","Conducts research in artificial intelligence and machine learning, developing new algorithms and techniques."
AI SOFTWARE ARCHITECT,"AI/ML Architecture, Software Design, Cloud Computing, Data Modeling","Designs and implements AI software systems, ensuring scalability and performance."
BUSINESS INTELLIGENCE DEVELOPER,"Business Intelligence Tools, Data Modeling, SQL, ETL Processes","Develops business intelligence solutions, creating reports and dashboards."
